yyyy-mm-dd;yyyy-mm-dd hh24:00:00;yyyy-mm-dd hh24:mi:00;yyyy-mm-dd hh24:mis:ss;thread type;thread name;thread state;last call;last custom call
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Reference Handler;Reference Handler;RUNNABLE;at java.lang.ref.Reference.waitForReferencePendingList(java.base@11.0.10/Native Method);at java.lang.ref.Reference$ReferenceHandler.run(java.base@11.0.10/Reference.java:213)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Finalizer;Finalizer;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at java.lang.ref.Finalizer$FinalizerThread.run(java.base@11.0.10/Finalizer.java:170)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Signal Dispatcher;Signal Dispatcher;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Service Thread;Service Thread;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;C2 CompilerThread0;C2 CompilerThread0;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;C1 CompilerThread0;C1 CompilerThread0;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Sweeper thread;Sweeper thread;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Common;Common-Cleaner;TIMED_WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at jdk.internal.misc.InnocuousThread.run(java.base@11.0.10/InnocuousThread.java:134)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;jaeger.RemoteReporter;jaeger.RemoteReporter-QueueProcessor;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;jaeger.RemoteReporter;jaeger.RemoteReporter-FlushTimer;TIMED_WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at java.util.TimerThread.run(java.base@11.0.10/Timer.java:506)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;lettuce-eventExecutorLoop-1;lettuce-eventExecutorLoop-1-1;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Catalina-utility;Catalina-utility-1;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Catalina-utility;Catalina-utility-2;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;container;container-0;TIMED_WAITING (sleeping);at java.lang.Thread.sleep(java.base@11.0.10/Native Method);at org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run(TomcatWebServer.java:197)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;commons-pool-evictor;commons-pool-evictor-thread;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;spring.cloud.inetutils;spring.cloud.inetutils;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012;http-nio-7012-BlockPoller;RUNNABLE;at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method);at org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run(NioBlockingSelector.java:313)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012;http-nio-7012-ClientPoller;RUNNABLE;at sun.nio.ch.EPoll.wait(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012;http-nio-7012-Acceptor;RUNNABLE;at sun.nio.ch.ServerSocketChannelImpl.accept0(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;DestroyJavaVM;DestroyJavaVM;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-1;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-2;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-3;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-4;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-5;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AMQP Connection 10.43.172.112:5672;AMQP Connection 10.43.172.112:5672;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at com.rabbitmq.client.impl.Frame.readFrom(Frame.java:91)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;pool-2-thread;pool-2-thread-2;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Attach Listener;Attach Listener;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-16;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-18;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-25;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;container;container-8;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-33;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-36;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-46;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-49;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-53;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-59;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-63;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-76;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-77;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;VM Thread;VM Thread;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;GC Thread#0;GC Thread#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Main Marker;G1 Main Marker;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Conc#0;G1 Conc#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Refine#0;G1 Refine#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Young RemSet Sampling;G1 Young RemSet Sampling;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;VM Periodic Task Thread;VM Periodic Task Thread;null;;
